country,platformid,current_status,name,category,function,operator,location_blocks,primary_production,weight_sub,weight_top,production_start,valid_from,valid_to,water_depth,coast_dist,remarks,lon_dd,lat_dd
Norway,278917,Operational,ÅSGARD X,Subsea steel,Subsea,Equinor Energy AS,NO_6507/11,Crude Oil,,,,20001004,,298,133622.165668,MULTI WELL TEMPLATE; GAS PRODUCER,7.4929722,65.0676389
Norway,284097,Operational,6407/9-D-2 H,Subsea steel,Subsea,OKEA ASA,NO_6407/9,Crude Oil,,,,20020422,,265,62039.6496492,SINGLE WELL TEMPLATE; OIL PRODUCER,7.7232944,64.3424028
Norway,356124,Operational,HEIDRUN C,Subsea steel,Subsea,Equinor Energy AS,NO_6507/7,,,,,19950815,,327,158093.124251,MULTI WELL TEMPLATE; WATER INJECTION,7.3030806,65.28635
Norway,377615,Operational,TYRIHANS A,Subsea steel,Subsea,Equinor Energy AS,NO_6407/1,Crude Oil,,,,20090708,,286,129479.03867,MULTI WELL TEMPLATE; OIL PRODUCER,7.0713444,64.8889583
Norway,279309,Operational,NORNE E,Subsea steel,Subsea,Equinor Energy AS,NO_6608/10,Crude Oil,,,,19971105,,379,152649.879388,MULTI WELL TEMPLATE; OIL PRODUCER,8.0982361,66.0454722
Norway,411122,Operational,GOLIAT E,,,Vår Energi ASA,,,,,,20160312,,323,47531.6507781,MULTI WELL TEMPLATE; OIL PRODUCER,22.25015,71.2433556
Norway,284349,Closed down,6407/9-A-53 H,Subsea steel,Subsea,OKEA ASA,NO_6407/9,Crude Oil,,,,19931019,,277,59381.561962,SINGLE WELL TEMPLATE; OIL PRODUCER,7.7752528,64.3302611
Norway,444187,Operational,AASTA HANSTEEN SPAR,,,Equinor Energy AS,,,,,,20181217,,1315,208218.186589,SPAR; ACCOMMODATION - OFFLOADING - PROCESSING - STORAGE,7.0974778,67.0669917
Norway,432583,Operational,ÅSGARD SCMS-A,,,Equinor Energy AS,,,,,,20150916,,267,126937.925446,SUBSEA STRUCTURE; MANIFOLD STATION,7.5209167,64.9974972
Norway,370616,Operational,SNØHVIT CDU-1,Subsea steel,Subsea,Equinor Energy AS,NO_7121/4,Crude Oil,,,,20070821,,325,98194.220155,SUBSEA STRUCTURE; DISTRIBUTION,21.2275333,71.5693
