FID,id,the_geom,port,port_id,portcode,country,year,tonnagesize,nofvessels,gross_tonnage__gt_thousand,tonnageindex
portvesselsbytonnage.369124,259,POINT (24.923563000000115 60.15564750000004),Helsinki,FIHEL,FI_0FIHEL,FI,2025,From 5 000 to 5 999 gross tonnage,1,5,8
portvesselsbytonnage.369123,259,POINT (24.923563000000115 60.15564750000004),Helsinki,FIHEL,FI_0FIHEL,FI,2025,From 4 000 to 4 999 gross tonnage,10,45,7
portvesselsbytonnage.369122,259,POINT (24.923563000000115 60.15564750000004),Helsinki,FIHEL,FI_0FIHEL,FI,2025,From 3 000 to 3 999 gross tonnage,24,85,6
portvesselsbytonnage.369121,259,POINT (24.923563000000115 60.15564750000004),Helsinki,FIHEL,FI_0FIHEL,FI,2025,From 2 000 to 2 999 gross tonnage,17,47,5
portvesselsbytonnage.369120,259,POINT (24.923563000000115 60.15564750000004),Helsinki,FIHEL,FI_0FIHEL,FI,2025,From 1 000 to 1 999 gross tonnage,,,4
portvesselsbytonnage.369119,259,POINT (24.923563000000115 60.15564750000004),Helsinki,FIHEL,FI_0FIHEL,FI,2025,From 500 to 999 gross tonnage,,,3
portvesselsbytonnage.369118,259,POINT (24.923563000000115 60.15564750000004),Helsinki,FIHEL,FI_0FIHEL,FI,2025,From 100 to 499 gross tonnage,,,2
portvesselsbytonnage.369117,259,POINT (24.923563000000115 60.15564750000004),Helsinki,FIHEL,FI_0FIHEL,FI,2025,Less than 100 gross tonnage,,,1
portvesselsbytonnage.369137,259,POINT (24.923563000000115 60.15564750000004),Helsinki,FIHEL,FI_0FIHEL,FI,2025,Total,1728,66148,0
portvesselsbytonnage.371996,260,POINT (22.96331787100013 59.81970214800009),Hanko,FIHKO,FI_0FIHKO,FI,2025,From 50 000 to 79 999 gross tonnage,17,1029,17
portvesselsbytonnage.371995,260,POINT (22.96331787100013 59.81970214800009),Hanko,FIHKO,FI_0FIHKO,FI,2025,From 40 000 to 49 999 gross tonnage,,,16
portvesselsbytonnage.371994,260,POINT (22.96331787100013 59.81970214800009),Hanko,FIHKO,FI_0FIHKO,FI,2025,From 30 000 to 39 999 gross tonnage,70,2367,15
portvesselsbytonnage.371993,260,POINT (22.96331787100013 59.81970214800009),Hanko,FIHKO,FI_0FIHKO,FI,2025,From 20 000 to 29 999 gross tonnage,250,6606,14
portvesselsbytonnage.371992,260,POINT (22.96331787100013 59.81970214800009),Hanko,FIHKO,FI_0FIHKO,FI,2025,From 10 000 to 19 999 gross tonnage,,,13
portvesselsbytonnage.371991,260,POINT (22.96331787100013 59.81970214800009),Hanko,FIHKO,FI_0FIHKO,FI,2025,From 9 000 to 9 999 gross tonnage,1,10,12
portvesselsbytonnage.371990,260,POINT (22.96331787100013 59.81970214800009),Hanko,FIHKO,FI_0FIHKO,FI,2025,From 8 000 to 8 999 gross tonnage,,,11
portvesselsbytonnage.371989,260,POINT (22.96331787100013 59.81970214800009),Hanko,FIHKO,FI_0FIHKO,FI,2025,From 7 000 to 7 999 gross tonnage,,,10
portvesselsbytonnage.371988,260,POINT (22.96331787100013 59.81970214800009),Hanko,FIHKO,FI_0FIHKO,FI,2025,From 6 000 to 6 999 gross tonnage,1,7,9
portvesselsbytonnage.371987,260,POINT (22.96331787100013 59.81970214800009),Hanko,FIHKO,FI_0FIHKO,FI,2025,From 5 000 to 5 999 gross tonnage,1,6,8
portvesselsbytonnage.371986,260,POINT (22.96331787100013 59.81970214800009),Hanko,FIHKO,FI_0FIHKO,FI,2025,From 4 000 to 4 999 gross tonnage,3,13,7
portvesselsbytonnage.371985,260,POINT (22.96331787100013 59.81970214800009),Hanko,FIHKO,FI_0FIHKO,FI,2025,From 3 000 to 3 999 gross tonnage,9,32,6
